financialInstitution,productName,productUrl,minAmount,maxAmount,duration,intRate7,intRate30,intRate60,intRate90,intRate120,intRate150,intRate180,intRate210,intRate240,intRate270,intRate360,intRate540,intRate720,intRate1080,intRate1440,intRate1800,intRateF,notes,logoUrl
Acción y Evolución S.A. de C.V.,Mi Plazo Real (500 a 50K),https://realfinanciera.com,500,50000,"7,30,90,180,360",2.75,4.5,,5.05,,,5.8,,,,6,,,,,,,Nivel I<sup>2</sup>,http://realfinanciera.com/wp-content/uploads/2015/03/logo-oro-retina.png
Acción y Evolución S.A. de C.V.,Mi Plazo Real (+50K a 250K),https://realfinanciera.com,50001,250000,"7,30,90,180,360",3,4.5,,5.05,,,5.8,,,,6,,,,,,,Nivel I<sup>2</sup>,http://realfinanciera.com/wp-content/uploads/2015/03/logo-oro-retina.png
Acción y Evolución S.A. de C.V.,Mi Plazo Real (+250K a 500K),https://realfinanciera.com,250001,500000,"7,30,90,180,360",3.5,4.5,,5.05,,,5.8,,,,6.5,,,,,,,Nivel I<sup>2</sup>,http://realfinanciera.com/wp-content/uploads/2015/03/logo-oro-retina.png
Acción y Evolución S.A. de C.V.,Mi Plazo Real (+500K a 750K),https://realfinanciera.com,500001,750000,"7,30,90,180,360",3.6,4.5,,5.05,,,5.8,,,,7,,,,,,,Nivel I<sup>2</sup>,http://realfinanciera.com/wp-content/uploads/2015/03/logo-oro-retina.png
Acción y Evolución S.A. de C.V.,Mi Plazo Real (+750K),https://realfinanciera.com,750001,999999999,"7,30,90,180,360",3.65,4.5,,5.05,,,5.8,,,,7,,,,,,,Nivel I<sup>2</sup>,http://realfinanciera.com/wp-content/uploads/2015/03/logo-oro-retina.png
"Administradora de Caja Bienestar S.A. de C.V., S. F. P.",Depósito a Plazo Fijo,https://www.ahorrosbienestar.com,2000,50000,"30,60,90,120,180,360,720",,6,6.5,6.55,6.92,,6.97,,,,7.77,,7.87,,,,,Nivel III<sup>2</sup>,
Capital Activo S.A. de C.V.,Depósito a Plazo,https://capitalactivo.com.mx,1000,999999999,"30,60,90,120,180,270,360,540,720,f",,2.5,3.5,4.5,5,,9.75,,,10.25,10.75,11,11.25,,,,1.5,Nivel I<sup>2</sup>,https://capitalactivo.com.mx/wp-content/themes/capital/images/logo-capital-activo.svg
Crediclub S.A. de C.V.,Super Tasas,https://supertasas.com,1,5000000,"30,90,180,360,f",,9.5,,10,,,10.5,,,,11.5,,,,,,9.5,Nivel I<sup>2</sup>,https://supertasas.com/img/logo-CcSt.svg
Crediclub S.A. de C.V.,Super Tasas (con pago de intereses mensual),https://supertasas.com,1,5000000,360,,,,,,,,,,,11,,,,,,,"<p>Nivel I<sup>2</sup></p>
<p>Cuenta Básica: Depósitos de Hasta $25,000 MXN al mes (3,000 UDIS) y</p>
<p>Retiros de Hasta $12,500 MXN al día (1,500 UDIS) o $50,000 MXN al mes (6,000 UDIS)</p>",https://supertasas.com/img/logo-CcSt.svg
"Financiera Broxel, S.A. de C.V.",Bóveda Virtual,https://broxel.com,1,999999999,f,,,,,,,,,,,,,,,,,10,"<p>Nivel I<sup>2</sup></p>
<p>Rendimientos diarios con depósitos mensuales</p>
<p>Comisión de $250.00 por aclaraciones improcedentes</p>
<p>Comisión de $6.90 + IVA por transferencia SPEI</p>
<p>Cobro por inactividad de la cuenta (4 meses) $86.21 + IVA</p>",https://transformacion.azurewebsites.net/wp-content/uploads/2024/06/logoBXr.png.webp
